User,collect_list(Reco)
463,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
471,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
496,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
833,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
1088,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
1238,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
1591,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
1645,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
1829,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
1959,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
2122,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
2142,"[1, 11, 21, 2, 12, 22, 3, 13, 23, 4]"
2366,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
2659,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
2866,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
3175,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
3749,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
3794,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
3918,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
3997,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
4101,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
4818,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
4900,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
5300,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
5803,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
6336,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
6357,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
6397,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
6466,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
6654,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
6658,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
7240,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
7253,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
7554,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
7754,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
7833,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
7880,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
7982,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
8086,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
8389,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
8592,"[1, 11, 21, 2, 12, 22, 3, 13, 23, 4]"
8638,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
9376,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
9427,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
9465,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
9900,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
10206,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
10362,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
10623,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
10817,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
11033,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
11141,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
11317,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
11458,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
11748,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
11858,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
12027,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
12799,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
12940,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
13285,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
13289,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
13623,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
13832,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
13840,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
14450,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
